Team,#Bat,R/G,G,W,L,R,RA,RD,BA,OBP,SLG,OPS,OPS+,OOBP,OSLG
Arizona Diamondbacks,64,4.19,162,52,110,679,893,-214,0.236,0.309,0.382,0.692,87,0.339,0.468
Atlanta Braves,56,4.91,161,88,73,790,656,134,0.244,0.319,0.435,0.754,96,0.308,0.387
Baltimore Orioles,44,4.07,162,52,110,659,956,-297,0.239,0.304,0.402,0.705,90,0.344,0.473
Boston Red Sox,43,5.12,162,92,70,829,749,80,0.261,0.328,0.449,0.777,104,0.329,0.418
Chicago Cubs,69,4.35,162,71,91,705,839,-134,0.237,0.312,0.407,0.719,93,0.337,0.442
Chicago White Sox,41,4.91,162,93,69,796,636,160,0.256,0.336,0.422,0.758,107,0.3,0.382
Cincinnati Reds,54,4.85,162,83,79,786,760,26,0.249,0.328,0.431,0.759,93,0.327,0.417
Cleveland Indians,42,4.43,162,80,82,717,727,-10,0.238,0.303,0.407,0.71,93,0.313,0.417
Colorado Rockies,44,4.59,161,74,87,739,796,-57,0.249,0.317,0.414,0.731,87,0.332,0.435
Detroit Tigers,42,4.3,162,77,85,697,756,-59,0.242,0.308,0.399,0.707,97,0.329,0.419
Houston Astros,42,5.33,162,95,67,863,658,205,0.267,0.339,0.444,0.783,113,0.307,0.385
Kansas City Royals,36,4.23,162,74,88,686,788,-102,0.249,0.306,0.396,0.702,88,0.332,0.415
Los Angeles Angels,57,4.46,162,77,85,723,804,-81,0.245,0.31,0.407,0.717,94,0.33,0.41
Los Angeles Dodgers,61,5.12,162,106,56,830,561,269,0.244,0.33,0.429,0.759,103,0.28,0.345
Miami Marlins,61,3.85,162,67,95,623,701,-78,0.233,0.298,0.372,0.671,82,0.317,0.4
Milwaukee Brewers,61,4.56,162,95,67,738,623,115,0.233,0.317,0.396,0.713,91,0.298,0.358
Minnesota Twins,43,4.5,162,73,89,729,834,-105,0.241,0.314,0.423,0.738,103,0.32,0.45
New York Mets,64,3.93,162,77,85,636,668,-32,0.239,0.315,0.391,0.705,94,0.307,0.4
New York Yankees,47,4.39,162,92,70,711,669,42,0.237,0.322,0.407,0.729,100,0.3,0.389
Oakland Athletics,42,4.59,162,86,76,743,687,56,0.238,0.317,0.406,0.723,102,0.309,0.403
Philadelphia Phillies,55,4.53,162,82,80,734,745,-11,0.24,0.318,0.408,0.726,95,0.316,0.413
Pittsburgh Pirates,64,3.76,162,61,101,609,833,-224,0.236,0.309,0.364,0.673,83,0.341,0.446
San Diego Padres,54,4.5,162,79,83,729,708,21,0.242,0.321,0.401,0.722,101,0.312,0.41
Seattle Mariners,50,4.3,162,90,72,697,748,-51,0.226,0.303,0.385,0.688,92,0.314,0.416
San Francisco Giants,54,4.96,162,107,55,804,594,210,0.249,0.329,0.44,0.769,107,0.29,0.366
St. Louis Cardinals,51,4.36,162,90,72,706,672,34,0.244,0.313,0.412,0.725,101,0.32,0.374
Tampa Bay Rays,43,5.29,162,100,62,857,651,206,0.243,0.321,0.429,0.75,112,0.296,0.391
Texas Rangers,45,3.86,162,60,102,625,815,-190,0.232,0.294,0.375,0.67,84,0.325,0.436
Toronto Blue Jays,47,5.22,162,91,71,846,663,183,0.266,0.33,0.466,0.797,115,0.305,0.407
Washington Nationals,60,4.47,162,65,97,724,820,-96,0.258,0.337,0.417,0.754,107,0.329,0.447
League Average,46,4.53,162,81,81,734,734,0,0.244,0.317,0.411,0.728,97,0.317,0.411
